id,sierra-system-no,referenceNumber,availabilities,title,alternativeTitles,workType,physicalDescription,genres,subjects,contributors,production.dates,production.agents,production.places,languages,description,lettering,duration,images,thumbnail.license.label,thumbnail.url,collection.url
hej7vvrw,b16777773,677777i,"['Closed stores', 'Online']","An army of red people behind a blue barrior bearing sparkling religious symbols attempting to quell a group of red devils bearing the word 'AIDS' and holding forks; an advertisement to use religions as a shield against AIDS by the Catholic Commision on AIDS. Colour lithograph, ca. 1996.",,Pictures,"1 print : lithograph, printed in colours ; sheet 40.6 x 28.7 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Catholics', 'Religions', 'Bangkok (Thailand)', 'Philippines']",,"[(Thailand)] : Catholic Commision on AIDS, [1996?]",['Catholic Commision on AIDS'],['[(Thailand)]'],['Thai'],,Lettering in Thai - not transcribed but translation is provided in pencil on poster,,['cn85myt8'],In copyright,"https://iiif.wellcomecollection.org/thumbs/b16777773_l0054568.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/hej7vvrw
j9b8dy3u,b16777815,677781i,"['Closed stores', 'Online']","The Holy Family against a backdrop of a long queue of people representing an advertisement to use religion to help protect families against AIDS by the Catholic Commision on AIDS. Colour lithograph, ca. 1996.",,Pictures,"1 print : lithograph, printed in colours ; sheet 29.2 x 43.7 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Catholics', 'Families', 'Thailand', 'Jesus Christ', 'Family.']",,"[(Thailand)] : Catholic Commision on AIDS, [1996?]",['Catholic Commision on AIDS'],['[(Thailand)]'],['Thai'],,Lettering in Thai - not transcribed but translation is provided in pencil on verso of poster,,['tm8mcusx'],In copyright,"https://iiif.wellcomecollection.org/thumbs/b16777815_l0054569.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/j9b8dy3u
dbgyuqka,b21249313,,['Online'],Buddhist monks sit with tea and sweets laid out in front of them.,,Digital Images,,,"['Buddhism', 'Buddhist monks', 'Buddhist legends', '19th century', 'Thailand']",,,,,,"<p>Buddhist monks sit with tea and sweets laid out in front of them. One monk, left, has a cheroot in his mouth, while the other Monks, right, are holding their throats which is a reference to vocal fatigue from long periods of chanting or recitation. From the Thai manuscript Phra Malai. Wellcome Library no.: Wellcome MS Thai 3</p>",,,"['w9nfhnds', 'fe3jxbnm', 'vcz52krd']",Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/thumbs/b21249313_L0028404-CS-LS.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/dbgyuqka
dckwjtst,b16780541,678054i,"['Closed stores', 'Online']","A glass of water against a blue background representing an AIDS awareness advertisement by the Program on AIDS Thai Red Cross Society. Colour lithograph, ca. 1990's.",,Pictures,"1 print : lithograph, printed in colours ; sheet 52.5 x 38.2 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Glass', 'Water', 'Thailand']",,"[Thailand] : Thai Red Cross Society, [between 1990 and 1999]",['Thai Red Cross Society'],['[Thailand]'],['Thai'],,"Lettering in Thai - not transcribed

Bears logo: Thai Red Cross Society",,['mejbexv7'],In copyright,"https://iiif.wellcomecollection.org/thumbs/b16780541_l0054758.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/dckwjtst
jczuhfjy,b16780528,678052i,"['Closed stores', 'Online']","A dial with numbers above a lock bearing the number '73122' representing an advertisement for the Program on AIDS by the Thai Red Cross Society. Colour lithograph, ca. 1990's.",,Pictures,"1 print : lithograph, printed in colours ; sheet 38.4 x 25.9 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Locks and keys', 'Thailand']",,"[(Thailand)] : Thai Red Cross Society, [1990's?]",['Thai Red Cross Society'],['[(Thailand)]'],['Thai'],,"Lettering in Thai - not transcribed

Bears logo: Thai Red Cross Society",,['wh7v4jgp'],In copyright,"https://iiif.wellcomecollection.org/thumbs/b16780528_l0054755.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/jczuhfjy
as76m7s6,b16780656,678065i,"['Closed stores', 'Online']","Twelve designs featuring couples and the words 'AIDS' used in a calendar for the year 1994 as part of an advertisement for the Program on AIDS by the Thai Red Cross Society supported by Unicef and the Ford Foundation. Colour lithograph, ca. 1995.",,Pictures,"1 print : lithograph, printed in colours ; sheet 75.9 x 52.5 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Calendars', 'Couples', 'Bangkok (Thailand)']",,"Bangkok (8 Sukhamvit Soi 12, Bankgkok 10110, Thailand) : Thai Red Cross Society, [1994?]",['Thai Red Cross Society'],"['Bangkok (8 Sukhamvit Soi 12, Bankgkok 10110, Thailand)']",['Thai'],,"... Ford Foundation ... UNICEF

Lettering in Thai - not fully transcribed

Bears logo: Thai Red Cross Society

Bears two other unidentified logos",,['t7dgffzn'],In copyright,"https://iiif.wellcomecollection.org/thumbs/b16780656_l0054883.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/as76m7s6
j8vmb2ne,b16780504,678050i,"['Closed stores', 'Online']","A calendar for the year 1994 edged with gold at the top and containing numerous images of couples within borders bearing the words 'AIDS'; an advertisement for the Program on AIDS by the Thai Red Cross Society supported by Unicef and the Ford Foundation. Colour lithograph, ca. 1994.",,Pictures,"1 print : lithograph, printed in colours ; sheet 37.7 x 25.8 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Calendars', 'Couples', 'Bangkok (Thailand)']",,"Bangkok (8 Sukhamvit Soi 12, Bankgkok 10110, Thailand) : Thai Red Cross Society, [1994?]",['Thai Red Cross Society'],"['Bangkok (8 Sukhamvit Soi 12, Bankgkok 10110, Thailand)']",['Thai'],,"2537. 1994 ... (Ford Foundation) ... (Unicef) ... (AIDAB)

Lettering in Thai - not fully transcribed

Bears logo: Thai Red Cross Society

Bears two other unidentified logos

The Ford Foundation is a resource for innovative people and institutions around the world to advance human welfare",,"['vwaefcuj', 'c8fry7x5', 'sfkvqxww', 'z89up556', 'fkv3wbu8', 'krthtbmk', 'fk2qgy9g', 'z7tu7gb4', 'hn8tyz8n', 'htwzekmj']",In copyright,"https://iiif.wellcomecollection.org/thumbs/b16780504_l0054744.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/j8vmb2ne
m3s77k72,b28605081,,['Closed stores'],"Hot, beautiful Thai girl, 20 year old gives sensual massage : no rush, local W1.",,Ephemera,1 sheet : monochrome (black) ; 10 x 11 cm,"['Advertising cards', 'Ephemera']","['Prostitutes', 'Prostitution', 'Sex', 'Cross-dressing', 'Thailand', 'Westminster (London, England)']",,[1993],,,['English'],"<p>Prostitute card from London (4 January 1993) showing a photograph of a south asian woman, her white top open revealing her nipple. Printed in black on deep pink card.</p>",,,,,,https://wellcomecollection.org/works/m3s77k72
vkvhb9pb,b28604684,,['Closed stores'],"Hot, beautiful Thai girl, 20 year old gives sensual massage : no rush, local W1.",,Ephemera,1 sheet : monochrome (black) ; 10 x 11 cm,"['Advertising cards', 'Ephemera']","['Prostitutes', 'Prostitution', 'Sex', 'Cross-dressing', 'Thailand', 'Westminster (London, England)']",,[1993],,,['English'],"<p>Prostitute card from London (3 January 1993) showing a photograph of a south asian woman, her white top open revealing her nipple. Printed in black on cream card.</p>",,,,,,https://wellcomecollection.org/works/vkvhb9pb
hayt3rm4,b16780437,678043i,"['Closed stores', 'Online']","The wedding outfits of a couple on hangers beside a table with a wedding bouquet of flowers representing an advertisement for the Program on AIDS by the Thai Red Cross Society. Colour lithograph, ca. 1995.",,Pictures,"1 print : lithograph, printed in colours ; sheet 62.2 x 43 cm","['Posters', 'Lithographs']","['AIDS (Disease)', 'AIDS (Disease)', 'Prevention', 'Weddings', 'Wedding costume', 'Couples', 'Bangkok (Thailand)']",,"Bangkok (8 Sukhamvit Soi 12, Bankgkok 10110, Thailand) : [Population and Community Development Association (PDA)], [1995?]",['[Population and Community Development Association (PDA)]'],"['Bangkok (8 Sukhamvit Soi 12, Bankgkok 10110, Thailand)']",['Thai'],,"Lettering in Thai - not transcribed

Bears logo: Thai Red Cross Society",,['tewr23fg'],In copyright,"https://iiif.wellcomecollection.org/thumbs/b16780437_l0054754.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/hayt3rm4
brq8zvzm,b20171390,,['Closed stores'],"Face lift (face and neck) package 4,062 GBP* ... : Upper or lower blepharoplasty package 898 GBP* ... Breat reduction package 4,123 GBP* ... Breast augmentation 2,715 GBP* / Bangkok Hospital.",,Ephemera,1 sheet : color illustrations ; 30 cm,"['Ephemera', 'Leaflets']","['Medical Tourism', 'Surgery, Plastic', 'Breast', 'surgery', 'Eyelids', 'surgery', 'Bangkok (Thailand)', 'Bangkok Hospital']",['Bangkok Hospital.'],"[Place of publication not identified] : Bangkok Hospital, [2013?]",['Bangkok Hospital'],['[Place of publication not identified]'],['English'],,,,,,,https://wellcomecollection.org/works/brq8zvzm
u9a4nqmf,b2868736x,,"['Closed stores', 'Online']",Nadisan.,,Ephemera,1 folded sheet (4 unnumbered pages) : colour ; 21 x 30 cm folded to 21 x 14 cm,"['Ephemera', 'Leaflets']","['Diabetes Mellitus', 'drug therapy', 'Frail Elderly', 'Drug Industry', 'Pharmaceutical Preparations', 'Bangkok (Thailand)']",['Boehringer Mannheim GmbH'],[1959?],,,['English'],"<p>Leaflet issued by Boehringer Mannheim to a Thai audience (includes Thai translations) advertising the antidiabetic agent Nadisan, used to treat elderly patients with diabetes mellitus.</p>",,,"['fcpvpaq2', 'wc44x6ct']",In copyright,"https://iiif.wellcomecollection.org/thumbs/b2868736x_0001.jp2/full/!200,200/0/default.jpg",https://wellcomecollection.org/works/u9a4nqmf
jjms2ufc,b1181987x,24135i,['Closed stores'],"World War Two: a surgical operation being performed under primitive conditions in a hospital camp. Coloured pen and ink drawing by L. Rawlings, 1946.",,Pictures,"1 drawing : pen and ink, with watercolour","['Watercolors', 'Ink drawings', 'Drawings', 'Paintings']","['World War, 1939-1945', 'Surgery, Operative', 'Anesthesiologists', 'Operating rooms', 'Operating room personnel', 'Traditional medicine', 'Surgery', 'Surgical instruments and apparatus', 'Camps', 'Military hospitals', 'Prisoners of war', 'Thailand', 'Thailand, Northern']","['Rawlings, Leo, -1990.']",1946,,"['No place, unknown, or undetermined']",,"<p>The scene depicted is possibly in Kanchanaburi, Thailand</p>","L. Rawlings 1946

Printed lettering attached to the sheet reads: ""Khanburi. primitive hospital""",,,,,https://wellcomecollection.org/works/jjms2ufc
gb7v5t8h,b16794710,679471i,"['Closed stores', 'Online']","Chang and Eng the Siamese twins, in an oriental setting. Lithograph, ca. 1830.",,Pictures,1 print : lithograph ; image 17.4 x 15.3 cm,"['Portrait prints', 'Lithographs']","['Abnormalities, Human', 'Conjoined twins', 'Thailand', 'Bunker, Chang, 1811-1874.', 'Bunker, Eng, 1811-1874.']",,"[London?] : [publisher not identified], [1830?]",['[publisher not identified]'],['[London?]'],['English'],"<p>For sitters see: C.J.S. Thompson, 'The mystery and lore of monsters', London 1930; L. Fiedler, 'Freaks', New York 1978; G.M. Gould and W. Pyle, 'Anomalies and curiosities of medicine', Philadelphia 1896, pp. 151-154</p>
<p>These conjoined-twins are the ""Siamese twins"", from whom the name derives. Born at Maklong near Bankok in Siam in about May 1811, of Chinese extraction; they were taken to America and then England in 1829, where they were exhibited causing great excitement. They were placed under the medical charge of G.B. Bolton, M.R.C.S., who made extensive observations along with others at the time. After visiting the principal cities in Europe they returned to America to settle as farmers in North Carolina, adopting the name of Bunker and marrying two sisters who bore each of them many healthy children. In 1869 they made another tour through Europe and took advice from eminent surgeons of Britain and France on the feasibility of being separated, with no ultimate conclusion. After having returned to their dual families (which they kept in separate houses) Chang developed bronchitis, which led to their death in mid-January 1874</p>",The Siamese twins. Aged 18.,,['ywp56s9t'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/L0063795/full/300,/0/default.jpg",https://wellcomecollection.org/works/gb7v5t8h
rzn5ay6e,b11819893,24137i,['Closed stores'],"World War Two: a surgical operation being carried out in the rain. Watercolour by L. Rawlings, c. 1946.",,Pictures,"1 painting : watercolour, with blue pencil ; image 12.8 x 18.4 cm","['Watercolors', 'Paintings']","['World War, 1939-1945', 'Traditional medicine', 'Surgery', 'Surgery, Operative', 'Medicine, Military', 'Rain and rainfall', 'Appendix (Anatomy)', 'Armies', 'Officers', 'Soldiers', 'Prisoners of war', 'Emergency medicine', 'Surgical emergencies', 'Thailand', 'Thailand, Northern']","['Rawlings, Leo, -1990.']",1946,,"['No place, unknown, or undetermined']",['English'],,"Appendix operation carried out in rain by Maj. Fagan. L.R.

Printed lettering attached to the mount reads: ""no praise can be too high for the noble work of life saving done by Major Fagan, A.I.F., Australian surgical geneous. the above picture shows an appendix operation carried out with a penknife in monsoon. the patient lived""",,,,,https://wellcomecollection.org/works/rzn5ay6e
hb3wgxtb,b11819881,24136i,['Closed stores'],"World War Two: a man has his tooth extracted in a hospital camp hut, surrounded by others suffering various ailments. Coloured pen and ink drawing by L. Rawlings, 1946.",,Pictures,"1 drawing : pen and ink, with watercolour ; image 22.3 x 27.2 cm","['Watercolors', 'Ink drawings', 'Drawings', 'Paintings']","['World War, 1939-1945', 'Traditional medicine', 'Camps', 'Military hospitals', 'Huts', 'Bamboo construction', 'War victims', 'Teeth', 'Teeth', 'Extraction', 'Soldiers', 'Prisoners of war', 'Armies', 'Officers', 'War', 'Relief of sick and wounded', 'Patients', 'Medicine, Military', 'Thailand', 'Thailand, Northern']","['Rawlings, Leo, -1990.']",1946,,"['No place, unknown, or undetermined']",,"<p>The scene depicted is possibly in Kanchanaburi, Thailand</p>","L. Rawlings

Printed lettering attached to the mount reads: ""Khanburi. hospital camp, Thailand. assorted complaints and diseases together in the same hut. (the artist has tooth removed by Capt. Winchester, A.I.F. brilliant extraction!)""",,,,,https://wellcomecollection.org/works/hb3wgxtb
xzgma37q,b16619973,,['Closed stores'],Sleep and dreams ephemera. Box 1.,,Ephemera,1 box ; 34 x 33 cm.,"['Ephemera', 'Cigarette cards']","['Dream interpretation', 'Rings', 'Dreams', 'Sleep', 'Sleep Wake Disorders', 'drug therapy', 'Plant Preparations', 'therapeutic use', 'Snoring', 'prevention & control', 'Thailand', 'British American Tobacco Company', 'Stafford-Miller Ltd']",,,,,['English'],"<p>Box file containing items of ephemera in acid free sleeves. Includes a set of 50 cigarette cards issued by the British American Tobacco Company in 1923 with the theme of: Dreams and their meaning (text is in Thai). Every card has an illustration of animals (cow, horse, rabbit, tiger, lion, goat, spider, sheep, pig, birds, rat, elephant, whale), fruit or people doing things with a short statement of what these mean should they appear in a dream. Despite these being issued with Eagle Bird Cigarettes, manufactured in the USA by the British American Tobacco Company Ltd., the imagery is very definitely that of Thailand (Siam) - the first card shows a lighthouse flying the Thai / Siamese flag. Also packaging for Nytol herbal sleeping tablets, leaflets about insomnia, snoring, London Hypnotherapy Consultancy, Holland & Barrett, Sea-Band UK Ltd.'s Isocônes (""acupuncture without needles""), Farmacia Urban Healing, Snor-ring (silver and gold rings to prevent snoring : 2012?).</p>",,,,,,https://wellcomecollection.org/works/xzgma37q
auzf48tr,b18505168,WF/M/I/PR/246,['Closed stores'],"Chivakanit, K W",,Archives and manuscripts,1 Item (1 SubItem),,,,c Jul 1988,,,,Thailand,,,,,,https://wellcomecollection.org/works/auzf48tr
xxxkedve,b18478049,WF/M/I/PR/236,['Closed stores'],"Chantarapitac, D",,Archives and manuscripts,1 Item (1 SubItem),,,,May 1989,,,,Thailand,,,,,,https://wellcomecollection.org/works/xxxkedve
rpwae6zf,b18704050,WF/M/I/PR/139,['Closed stores'],"Brown, Billy",,Archives and manuscripts,1 Item (1 SubItem),,,,c 1979,,,,"Wellcome, Thailand.",,,,,,https://wellcomecollection.org/works/rpwae6zf
hh6yzpt6,,,['Online'],Drawing by an unknown artist whilst in a POW camp,,Digital Images,,,,,,,,,"Drawing by an unknown artist whilst in a World War II Prisoner of War camp, probably Tamuang, Thailand, part of the Burma-Thailand Railway.",,,['fyv8pubd'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0051729/full/300,/0/default.jpg",https://wellcomecollection.org/works/hh6yzpt6
smqxczjq,b18509083,WF/M/I/PR/505,['Closed stores'],"Hopkins, M",,Archives and manuscripts,1 Item (1 Sub Item),,,,c.1992,,,['English'],Territory General Manager Thailand; SEA Zone,,,,,,https://wellcomecollection.org/works/smqxczjq
r28w26jm,b31621971,SA/DRS/L/141,['Closed stores'],Workshop on Drug Abuse Prevention Education,,Archives and manuscripts,1 File,,"['Drugs', 'Education']",,1978,,,,"<p>Report of a workshop sponsored by the Office of the Narcotics Control Board, Thailand, and the Colombo Plan Bureau. Pattaya, Thailand, 10-15 July 1978.</p>
<p>Keywords: Drugs; Education</p>",,,,,,https://wellcomecollection.org/works/r28w26jm
swqjdf7c,b17276238,727623i,"['Closed stores', 'Online']",Burma: members of the royal family accompanied by courtiers and drummers drive oxen through a rice paddy to inaugurate the annual crop. Gouache painting.,,Pictures,1 painting : gouache ; image and border 35.5 x approximately 75 cm,"['Gouaches', 'Paintings']","['Plowing', 'Oxen', 'Ox driving', 'Courts and courtiers', 'Rice', 'Burma']",,[between 1800 and 1899],,,,"<p>The royal ploughing ceremony, enacted in Thailand, Burma, etc.</p>",,,['pp3sjqet'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0046560/full/300,/0/default.jpg",https://wellcomecollection.org/works/swqjdf7c
v8mtug35,b18544654,WF/M/P/02/07,['Closed stores'],Stypven Russell Viper venom,,Archives and manuscripts,1 file,,,,c 1938,,,,Product literature and sample packaging. Correspondence re importing to Siam [Thailand].,,,,,,https://wellcomecollection.org/works/v8mtug35
w4dam7mq,b18883709,WF/M/Obj/33,['Closed stores'],Rattananakosin bicentennial commemorative medallion,,Archives and manuscripts,1 item Pewter medallion in presentation slip-case.  Medallion diameter: 80mm.,,,,1982,,,,"From Bangkok, Thailand, a pewter medallion in slip-case.  Medallion numbered: 057726.",,,,,,https://wellcomecollection.org/works/w4dam7mq
am57ewt3,,,['Online'],Drawing by an unknown artist whilst in a POW camp,,Digital Images,,,,,,,,,"Drawing by an unknown artist whilst in a World War II Prisoner of War camp, possibly Ban Khao in Thailand, part of the Burma-Thailand railway. The text 'Spreekkamer an Apotheek', translated from Dutch as 'Consultation room and Pharmacy'.",,,['a3zmgcqv'],Attribution 4.0 International (CC BY 4.0),"https://iiif.wellcomecollection.org/image/L0051727/full/300,/0/default.jpg",https://wellcomecollection.org/works/am57ewt3
hu9yp62a,b19381086,SA/IEA/D/1/3/17,['Closed stores'],17th ISM,,Archives and manuscripts,2 files,,,,2005,,,['English'],Conference programme and abstracts.,,,,,,https://wellcomecollection.org/works/hu9yp62a
x3wx5mgp,b19107651,WTI/SGB/A.21/4,['Closed stores'],Letters from Christopher to Stanley,,Archives and manuscripts,1 file,,,,Jan-Aug 1967,,,['English'],"While Browne was in Agra, India, Jan 1967 and Bangkok, Thailand, Aug 1967",,,,,,https://wellcomecollection.org/works/x3wx5mgp
d2jzb5w7,b15586406,,['Closed stores'],Pandemic.,,Videos,"1 videocassette (VHS) (50 min.) : sound, color, PAL.","['Videocassettes', 'Documentary television programmes']","['Acquired Immunodeficiency Syndrome', 'HIV']",,"[Place of publication not identified] : BBC TV, 1993.",['BBC TV'],['[Place of publication not identified]'],['English'],"<p>""Part 8: Pandemic"" Compares government response to AIDS in Sydney, Florida and Thailand.</p>",,,,,,https://wellcomecollection.org/works/d2jzb5w7
ncdtmcmf,b18606106,WTI/SGB/A.21/11,['Closed stores'],Letters from Mali to Stanley,,Archives and manuscripts,1 file,,,,Apr-Nov 1976,,,['English'],"While Browne was in India, Johannesburg and Pretoria, South Africa, Geneva, Switzerland, Tanzania and Bangkok, Thailand",,,,,,https://wellcomecollection.org/works/ncdtmcmf
dc6xcuat,b19539538,WF/M/P/31/31,['Closed stores'],SEAZONE [South East Asia Zone] - Veterinary,,Archives and manuscripts,1 file,,,,1974-1976,,,,"Inc correspondence and reports re Wellcome Thailand; visit programmes for P Macmaster, Singapore; correspondence re Hexoestrol tablets.",,,,,,https://wellcomecollection.org/works/dc6xcuat
pzmrcwyy,b20273861,PP/MCD/A/3/7,['Closed stores'],Correspondence 1987,,Archives and manuscripts,2 files,,,,1987,,,['English'],Correspondence includes exchanges relating to McDougall's impending retirement as well as bubble packs for MDT treatment in Thailand.,,,,,,https://wellcomecollection.org/works/pzmrcwyy
tfbz5w9f,b11688166,5426i,"['Closed stores', 'Online']","A man with leprosy in Prapatoom (?). Watercolour by Edith M Hinchley, 1905.",,Pictures,1 painting : watercolour ; sheet 32.6 x 23.8 cm,"['Portrait paintings', 'Watercolors', 'Paintings']","['Leprosy', 'Patients']","['Hinchley, Edith M.']",1905,,"['No place, unknown, or undetermined']",,"<p>The location may be Nakon Pathom in Thailand, site of the large stupa of Phra Pathom Chedi</p>",Edith M Hinchley Prapatoom 1905.,,['bjxedg57'],Public Domain Mark,"https://iiif.wellcomecollection.org/image/V0010518/full/300,/0/default.jpg",https://wellcomecollection.org/works/tfbz5w9f
hqj4w8ym,b30060953,WTI/DPB/C/1/1,['Closed stores'],File cards recording details of diet and of non-infective diseases,,Archives and manuscripts,1 file card box,,,,1972,,,,"File cards are grouped as follows: Swaziland, Zaire, Pakistan and Bangladesh; Nigeria; India; Thailand; Korea; Timor; Sarawak; Papua; Philippines; Paraguay.",,,,,,https://wellcomecollection.org/works/hqj4w8ym
yp88yq99,b16890954,,['Closed stores'],"World distribution of spirochetal diseases. 1, Yaws, pinta, bejel / prepared by the American Geographical Society of New York ; E.D. Weldon, cartographer.",,Maps,"1 sheet : color illustrations, maps ; 64 x 97 cm.","['Maps', 'Pamphlets']","['Spirochaetales Infections', 'epidemiology', 'Yaws', 'epidemiology', 'Pinta', 'epidemiology', 'Treponemal Infections', 'epidemiology']","['Weldon, E. D.', 'American Geographical Society of New York.']","New York : American Geographical Society of New York, [1955], ©1955.",['American Geographical Society of New York'],['New York'],['English'],,,,,,,https://wellcomecollection.org/works/yp88yq99
p9e6uu8v,b19207104,WTI/SGB/H.5/9,['Closed stores'],Notebook containing notes of Browne's 'round world trip' in 1972,,Archives and manuscripts,1 file,,,,1972,,,['English'],"With some related papers at the back (Pacific islands, New Zealand, Hong Kong, Korea, Taiwan, Thailand, India).
<p>See also K.5/5</p>",,,,,,https://wellcomecollection.org/works/p9e6uu8v
vwbnpw87,b18605606,WTI/SGB/A.21/7,['Closed stores'],Letters from Mali to Stanley,,Archives and manuscripts,1 file,,,,Jan-Sep 1974,,,['English'],"While Browne was in Toronto, Canada, Jan 1974; in São Paolo, Brazil, Buenos Aires, Argentina, Tonga, South Pacific, Suva, Figi, Sydney, Australia, Singapore, Bangkok, Thailand",,,,,,https://wellcomecollection.org/works/vwbnpw87
whzzgdar,b33056249,3305624i,['Closed stores'],Photograph of two women in theatrical costume.,['Siamese Play'],Pictures,1 photographic postcard ; 13.8 x 8.8 cm,,,"['Gardiner, James']","[Place of publication not identified], [between 1850 and 1930?]",,"['[Place of publication not identified],']",['English'],"<p>Black and white photograph of two women in theatrical costumes, likely for performing Lakhon nai in Thailand, smiling at each other and holding hands.</p>",,,,,,https://wellcomecollection.org/works/whzzgdar
ftgpp8c6,b15588592,,['Closed stores'],Once bitten.,,Videos,"1 videocassette (VHS) (30 min.) : sound, color, PAL.","['Videocassettes', 'Documentary television programmes']","['Tropical Medicine', 'Research']",,"[Place of publication not identified] : [publisher not identified], 1987.",['[publisher not identified]'],['[Place of publication not identified]'],['English'],"<p>Documentary featuring the Wellcome Trust- sponsored research of Drs David and Mary Warrell into snakebite, rabies and malaria at the Bangkok Hospital for Tropical Diseases, Thailand.</p>",,,,,,https://wellcomecollection.org/works/ftgpp8c6
yksmfm2d,b21734653,PP/KIN/D/1,['Closed stores'],Other researchers: Anne Beaumont: thesis,,Archives and manuscripts,1 file,,,,2006,,,,"""'Betwixt and Between': A Comparative Study of Transgender Experience in Britain and Thailand"", thesis submitted for the degree of Doctor of Philosophy, Department of Sociology, University of Essex",,,,,,https://wellcomecollection.org/works/yksmfm2d
t447dn8p,b30060667,WTI/DPB/D/1/23,['Closed stores'],Diary of trip to Australia and Far East October to December 1966,,Archives and manuscripts,1 file,,,,Oct-Dec 1966,,,,"Manuscript journal account of Burkitt's trip to Australia and the Far East (including Singapore, Hong Kong, Japan, New Zealand, Australia, Thailand, Pakistan, Iraq), 16th October to early December 1966.",,,,,,https://wellcomecollection.org/works/t447dn8p
ehx7q2es,b19726235,SA/WFO/D/29,['Closed stores'],Bulletin 2007,,Archives and manuscripts,1 file,,,,2007,,,,"World Federation of Occupational Therapists bulletin from May 2007. Mainly articles on global competency and evidence-based practice as well as articles on topical occupational therapy issues in Colombia, Thailand, Brazil and USA.",,,,,,https://wellcomecollection.org/works/ehx7q2es
f8x6vq4k,b31622161,SA/DRS/L/97,['Closed stores'],Regional Narcotics Control Conference of Colombo Plan Countries,,Archives and manuscripts,1 File,,['Drugs'],,1974,,,,"<p>Statement from Colombo Plan Council for Technical Co-operation in South and South-East Asia, produced at the above meeting on 29-31 July, Bangkok, Thailand.</p>
<p>Keywords: Drugs; Policy</p>",,,,,,https://wellcomecollection.org/works/f8x6vq4k
